<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.01	22:00:00	1.17440	1.17485	1.17440	1.17470	100	0	48
2026.01.01	22:15:00	1.17470	1.17487	1.17463	1.17465	118	0	20
2026.01.01	22:30:00	1.17466	1.17484	1.17458	1.17477	58	0	20
2026.01.01	22:45:00	1.17478	1.17480	1.17451	1.17476	113	0	20
2026.01.01	23:00:00	1.17482	1.17492	1.17445	1.17461	295	0	8
2026.01.01	23:15:00	1.17461	1.17490	1.17456	1.17469	154	0	8
2026.01.01	23:30:00	1.17469	1.17494	1.17461	1.17494	156	0	8
2026.01.01	23:45:00	1.17494	1.17504	1.17481	1.17504	166	0	8
2026.01.02	00:00:00	1.17504	1.17530	1.17495	1.17524	243	0	8
2026.01.02	00:15:00	1.17525	1.17525	1.17509	1.17514	161	0	8
2026.01.02	00:30:00	1.17514	1.17526	1.17508	1.17521	196	0	8
2026.01.02	00:45:00	1.17521	1.17559	1.17517	1.17557	236	0	8
2026.01.02	01:00:00	1.17558	1.17602	1.17558	1.17563	417	0	8
2026.01.02	01:15:00	1.17565	1.17601	1.17564	1.17600	266	0	8
2026.01.02	01:30:00	1.17600	1.17613	1.17577	1.17596	260	0	8
2026.01.02	01:45:00	1.17597	1.17624	1.17587	1.17603	236	0	8
2026.01.02	02:00:00	1.17604	1.17633	1.17596	1.17629	211	0	8
2026.01.02	02:15:00	1.17629	1.17631	1.17603	1.17607	205	0	8
2026.01.02	02:30:00	1.17607	1.17607	1.17579	1.17600	225	0	8
2026.01.02	02:45:00	1.17600	1.17600	1.17577	1.17588	180	0	8
2026.01.02	03:00:00	1.17588	1.17620	1.17587	1.17613	186	0	8
2026.01.02	03:15:00	1.17613	1.17630	1.17607	1.17626	160	0	8
2026.01.02	03:30:00	1.17626	1.17633	1.17614	1.17633	200	0	8
2026.01.02	03:45:00	1.17633	1.17646	1.17628	1.17639	162	0	8
2026.01.02	04:00:00	1.17640	1.17645	1.17602	1.17607	178	0	8
2026.01.02	04:15:00	1.17607	1.17612	1.17577	1.17580	246	0	8
2026.01.02	04:30:00	1.17580	1.17583	1.17550	1.17556	198	0	8
2026.01.02	04:45:00	1.17556	1.17570	1.17548	1.17554	146	0	8
2026.01.02	05:00:00	1.17554	1.17557	1.17545	1.17555	144	0	8
2026.01.02	05:15:00	1.17555	1.17567	1.17551	1.17566	157	0	8
